area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2200,3,2,275
Built-up  Area,Ready To Move,Harohalli,2 BHK,,1305,2,2,52
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Sravea ,1740,3,3,80
Super built-up  Area,Ready To Move,Anekal,2 BHK,,680,1,1,21
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1154,2,2,47
Built-up  Area,Ready To Move,Munnekollal,2 BHK,,1200,2,2,40
Super built-up  Area,Ready To Move,Hennur,2 BHK,,1155,2,2,54.5
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525,2,3,63
Built-up  Area,Ready To Move,Giri Nagar,1 Bedroom,,600,1,1,125
Super built-up  Area,19-Dec,Hebbal,4 BHK,Raard B,2470,5,2,192
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,,1100,2,1,60
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Savar S,1250,2,2,65
Super built-up  Area,Ready To Move,Kothanur,2 BHK,YMhenLi,1400,2,1,70
Super built-up  Area,Ready To Move,Ittamadu,3 BHK,Naory G,1600,3,2,100
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2,1,55
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1272,2,2,50
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2,2,105
Built-up  Area,Ready To Move,Dollars Colony,4 BHK,,2100,3,2,280
Super built-up  Area,Ready To Move,Karuna Nagar,3 BHK,AjityIn,1945,3,3,115
Super built-up  Area,19-Nov,Chandapura,3 BHK,,1033,2,2,30.47
Super built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,Pantsce,2300,2,,69
Super built-up  Area,18-Aug,Gunjur Palya,2 BHK,,1235,2,2,52.76
Super built-up  Area,Ready To Move,3rd Block Koramangala,3 BHK,Aplanje,2100,3,1,270
Super built-up  Area,Ready To Move,2nd Phase JP Nagar,2 BHK,Sharlth,850,2,1,42.5
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1880,3,2,110
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2450,4,2,368
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,Unateit,1060,2,2,52
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,2041,3,3,138
Built-up  Area,Ready To Move,Hulimavu,2 Bedroom,,1050,2,2,125
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1037,2,1,36.28
Built-up  Area,21-Dec,"Electronic city phase 1, ",2 BHK,,1150,2,1,39
Super built-up  Area,Ready To Move,LB Shastri Nagar,2 BHK,MCrds S,1184,2,1,62
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,,1680,3,2,126
Super built-up  Area,18-Apr,Thanisandra,3 BHK,Bhe 2ko,1411,3,2,100
Plot  Area,Ready To Move,Hosa Road,5 Bedroom,,900,5,0,55
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,,900,2,2,41
Built-up  Area,Ready To Move,Jakkur Plantation,4 BHK,,3500,4,3,320
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702,3,2,120
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,BKideor,1185,2,2,45
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1300,3,1,64
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,Vanusn ,1545,3,2,65
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,NCierar,1515,2,2,135
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1300,3,3,55
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,,1107,2,1,57
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1720,3,2,106
Super built-up  Area,Ready To Move,Kuvempu Nagar,3 BHK,Srersas,1540,3,2,150
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1000,2,1,44.5
Super built-up  Area,21-Dec,Electronic City,1 BHK,KonteiT,710,1,1,40.42
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100,2,1,38
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,4 Bedroom,KrodsNo,3200,4,0,270
Plot  Area,Ready To Move,Domlur Layout,2 Bedroom,,900,2,2,160
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Saavenc,1250,2,0,48
Built-up  Area,Ready To Move,Kaggadasapura,5 Bedroom,,2400,4,3,130
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1584.01,3,1,104
Plot  Area,Ready To Move,Vasanth nagar,4 Bedroom,,875,4,0,150
Plot  Area,Ready To Move,Kammasandra,4 Bedroom,,1200,6,3,60
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,SrncyRe,1485,2,2,70
Built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1100,2,1,78
Super built-up  Area,18-Mar,8th Phase JP Nagar,2 BHK,,1245,2,1,59
Built-up  Area,19-Dec,Hennur Road,4 Bedroom,Ciris P,1880,4,0,154
Super built-up  Area,20-Jul,Frazer Town,3 BHK,,2214,3,3,350
Built-up  Area,18-Jun,Anathanagar,2 BHK,,1050,2,2,45
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,,600,4,2,95
Super built-up  Area,19-Jul,Bannerghatta Road,3 BHK,Uncioe ,1640,3,2,105
Super built-up  Area,Ready To Move,Basavanapura,2 BHK,Papusa ,1165,2,1,65
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MMowsik,1110,2,1,43
Super built-up  Area,Ready To Move,vinayakanagar,7 BHK,,1200,5,2,200
Built-up  Area,Ready To Move,St. John's Road,4 BHK,Soy 1Iv,4000,4,2,630
Built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,,4500,4,0,150
Plot  Area,Ready To Move,Jaraganahalli Jp Nagar Post,4 Bedroom,,600,4,3,65
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300,2,2,75
Plot  Area,Ready To Move,adigondanhalli,2 Bedroom,,1200,1,0,42
Plot  Area,Immediate Possession,Yelahanka,,Saaveha,1200 - 1800,,,12.75
Super built-up  Area,18-Aug,Hennur Road,2 BHK,Puachal,1232,2,1,69.61
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,,1704,3,2,94.36
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1275,2,2,88
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,GCiewty,1222,2,1,68
Super built-up  Area,Ready To Move,Varthur,2 BHK,MKllei ,1155,2,2,39
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1000,2,1,29.95
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Bhave E,1200,2,1,45
Super built-up  Area,19-Dec,Yelahanka,3 BHK,Goues A,1517,3,2,71.28
Super built-up  Area,18-May,Horamavu Agara,2 BHK,,1166,2,1,37.29
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,870,2,2,24
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,,4000,5,2,170
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,1350,4,1,230
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,Niareum,3019,6,,190
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SearkHy,1345,3,1,58
Plot  Area,Ready To Move,Dommasandra,3 Bedroom,,900,3,1,75
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,AkoreEn,3800,5,2,170
Super built-up  Area,Ready To Move,Chandapura,3 BHK,,971,2,2,38
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,1,52.32
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,Loe 1st,1810,2,2,65
Built-up  Area,Ready To Move,"Whitefield, ",2 BHK,,1300,2,1,58
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185,2,2,45
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,ShaleSp,1350,2,3,68
Super built-up  Area,20-Jun,Budigere,3 BHK,Brstaue,1510 - 1670,3,0,76.16
Super built-up  Area,Ready To Move,Thyagaraja Nagar,7 BHK,,3000,6,3,180
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,1560,3,2,149
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,ManceEl,1650,3,,126
Super built-up  Area,Ready To Move,Off Bannergatta Road,3 BHK,,1645,3,2,87
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1748,3,,103
Plot  Area,18-Nov,Channasandra,3 Bedroom,,1200,3,1,67.77
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Rooodre,1170,2,3,50
Built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Saitya ,3420,4,2,225
Built-up  Area,Ready To Move,Hulimavu,3 BHK,Naepa D,1320,2,2,65
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1610,3,2,84.53
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Bamita ,1870,3,3,180
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1510,2,1,110
Built-up  Area,Ready To Move,Kammagondahalli,6 Bedroom,,2700,7,3,110
Super built-up  Area,Ready To Move,Kanakapura  Rod,3 BHK,,1305,2,1,45.68
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1500,2,1,70
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Goareir,1149,2,1,130
Built-up  Area,Ready To Move,Thanisandra,4 BHK,Bhmesy ,1948,4,2,129
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,,1448,3,1,70
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,SJityaz,1242,2,1,78
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2,1,58
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Saoneil,1101,2,1,50
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,Bhmesa ,1255,2,3,65
Super built-up  Area,Ready To Move,Gunjur,3 BHK,DSerste,1362,3,1,62.63
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puops R,984,3,2,140
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1089,2,1,32.67
Built-up  Area,Ready To Move,Byrathi Village,2 BHK,,800,1,3,95
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2,1,57
Plot  Area,Ready To Move,Thanisandra,8 Bedroom,,3600,9,3,125
Plot  Area,Ready To Move,Krishna Nagar,4 Bedroom,,1650,2,1,140
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,45
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,Mantsce,1068,2,1,43
Built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,KHatsFl,860,1,2,31
Built-up  Area,Ready To Move,Kengeri,8 Bedroom,,3000,5,,130
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1756,3,2,66.73
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1205,2,1,41
Plot  Area,Ready To Move,Hoodi,8 Bedroom,,1120,8,,155
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,3,2,125
Super built-up  Area,18-Jan,Ashok Nagar,4 BHK,,8321,5,2,2912
Built-up  Area,Ready To Move,Hormavu,3 BHK,Neise P,1604,3,0,68
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4,3,204
Super built-up  Area,18-Dec,Chandapura,2 BHK,SunceEs,1015,2,2,25.88
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1200,2,2,42
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,,1010,2,2,38
Built-up  Area,Ready To Move,Nagarbhavi,2 Bedroom,,1250,3,0,170
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1010,2,1,41
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,DStus S,1050,2,2,33.1
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1710,3,2,85
Super built-up  Area,19-Jan,Mysore Road,3 BHK,PrntaEn,1248.52,3,2,115
Built-up  Area,Ready To Move,Attibele,1 BHK,,410,1,1,10
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1656,2,1,62.93
Super built-up  Area,Ready To Move,Naganathapura,3 BHK,Malmsri,1451,3,1,68
Super built-up  Area,Ready To Move,Giri Nagar,6 BHK,,1200,3,0,175
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Maerar ,1250,2,2,93
Plot  Area,Ready To Move,Meenakunte,3 Bedroom,Sreat R,4395,3,3,240
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Emceske,4600,6,2,650
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,Laiteya,1340,2,3,42
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,SSaveik,1100,2,2,38.5
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Toindls,6000,6,,700
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,Heate L,1700,3,1,71
Plot  Area,Ready To Move,Yelahanka,6 Bedroom,,1200,5,0,150
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SViseun,1096,2,1,43
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,Sryalan,1160,2,1,33.5
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,,1936,3,2,139
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,Undge T,1269,2,2,63
Super built-up  Area,19-Dec,Richmond Road,3 BHK,,3500,3,1,630
Super built-up  Area,18-May,Panathur,3 BHK,Prcesvy,1586,3,1,125
Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,ProdsWe,1376,2,1,124
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1452,3,3,56.5
Super built-up  Area,18-Aug,Hosa Road,3 BHK,Sosisic,1538,3,1,107
Super built-up  Area,18-May,Hosur Road,3 BHK,PuendWe,1427,2,1,130
Built-up  Area,Ready To Move,Upadhyaya Layout,2 BHK,,935,2,0,40
Built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,Raeusiy,1220,2,3,65
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1197,2,1,77
Super built-up  Area,18-Dec,Varthur,2 BHK,,674,1,1,19.9
Built-up  Area,Ready To Move,Kengeri,1 BHK,,410,1,1,15
Built-up  Area,18-Apr,Thanisandra,3 BHK,Bhmesy ,1573,3,1,90
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Srsami ,1135,2,2,58
Built-up  Area,18-Dec,Huskur,3 BHK,,1400,2,1,40.43
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,,1200,1,0,65
Plot  Area,Ready To Move,Ittamadu,3 Bedroom,,1800,3,0,95
Built-up  Area,Ready To Move,Avalahalli,3 BHK,Sohea A,2045,3,2,108
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Skacak ,1268,2,1,56
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,39
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,PuziaVe,1600,3,3,100
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1056,2,2,70
Plot  Area,Ready To Move,Jigani,10 Bedroom,,1200,11,,105
Plot  Area,Ready To Move,Whitefield,4 Bedroom,StodsWa,4500,4,,330
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Gasom B,1204,2,2,58
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Dhndsh ,1410,2,1,54
Built-up  Area,Ready To Move,Hennur Road,2 BHK,Elley B,1460,2,1,80.3
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2,1,41.18
Super built-up  Area,Ready To Move,Govindapura,2 BHK,AbarkVa,1310,2,1,88
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,Putus L,1600,3,2,90
Super built-up  Area,Ready To Move,Lottegolla Halli,2 BHK,,1250,2,2,55
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SJityaz,1665,3,2,74.93
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2,1,57
Built-up  Area,Ready To Move,Hosahalli Extension,5 Bedroom,,2000,5,2,240
Super built-up  Area,Ready To Move,Singasandra,2 BHK,SRensar,1416,2,2,67
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1145,2,2,46
Built-up  Area,Ready To Move,Munnekollal,10 Bedroom,,7200,10,3,200
Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1231,3,2,58
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Neite T,1664,3,0,73.95
Built-up  Area,Ready To Move,TC Palaya,3 Bedroom,,2000,3,1,76
Built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,972,2,2,43
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,,4500,4,3,345
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1185,2,1,47.39
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,,1750,3,2,81
Built-up  Area,Ready To Move,Byadarahalli,3 BHK,Prurten,3155,4,,316
Super built-up  Area,18-Dec,Balagere,2 BHK,Soresea,1007,2,1,68
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,,1700,3,2,200
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veales ,1250,2,2,85
Super built-up  Area,Ready To Move,Telecom Layout,2 BHK,,1200,2,1,54
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,S2ionrn,994,2,1,42.28
Super built-up  Area,18-Apr,Ramamurthy Nagar,2 BHK,,1150,2,2,40
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220,2,2,46
Super built-up  Area,Ready To Move,Hennur Gardens,2 BHK,PlhtsHe,1441,2,1,115
Super built-up  Area,19-Mar,Old Madras Road,2 BHK,Saesttt,1157,2,2,47.32
Super built-up  Area,Ready To Move,RPC layout,6 BHK,,1300,6,3,150
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1400,2,2,105
Built-up  Area,Ready To Move,Tindlu,3 BHK,,1370.07,3,1,65
Plot  Area,Ready To Move,Magadi Road,5 Bedroom,,1200,4,1,130
Super built-up  Area,20-Dec,Judicial Layout,2 BHK,,900,2,1,40
Super built-up  Area,Ready To Move,Kodipalya,1 BHK,,418,1,1,17
Plot  Area,Ready To Move,Vishwapriya Nagar,3 Bedroom,,1200,3,1,80
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1200,2,3,43
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1062,2,1,42.48
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1120,2,1,51
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1012,2,1,44
Plot  Area,Ready To Move,Postal Colony,3 Bedroom,,1500,2,1,200
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,,950,4,,180
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,675,2,2,13.5
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Atarebe,1430,2,2,78
Super built-up  Area,Ready To Move,Channasandra,3 BHK,,1195,2,1,56
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2640,5,1,150
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,42
Super built-up  Area,18-Sep,Hennur Road,3 BHK,Shxorm ,1550 - 1590,3,0,75.99
Plot  Area,Ready To Move,Kammanahalli,6 Bedroom,,782,4,2,85
Built-up  Area,18-Feb,Sonnenahalli,2 BHK,Skacak ,1011,2,1,59
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,1450,2,1,102
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1129,2,1,69
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,Soe 2as,1126,2,1,36
Plot  Area,18-Dec,Attibele,3 Bedroom,AkArkti,1200,3,,110
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1180,2,2,45
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,,600,4,2,125
Plot  Area,18-Apr,Bannerghatta,4 Bedroom,,940,4,2,45
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,1933,3,2,140
Built-up  Area,Ready To Move,TC Palaya,2 BHK,,1082,2,2,64
Plot  Area,Ready To Move,LB Shastri Nagar,8 Bedroom,,2400,8,1,250
Super built-up  Area,19-Dec,Anwar Layout,1 BHK,UKicte ,610,1,0,28
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1560,4,1,160
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,Prone M,1300,3,3,77.99
Built-up  Area,Ready To Move,Kudlu Gate,4 Bedroom,,3850,6,0,205
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1125,2,1,46
Plot  Area,Ready To Move,Bileshivale,6 Bedroom,,2400,7,2,107
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,777.4,2,0,25
Super built-up  Area,Ready To Move,Battarahalli,4 BHK,,2500,3,1,65
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,Roa 2ha,1798,3,,150
Built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,AlEcone,1864,3,2,120
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1115,2,1,51.91
Super built-up  Area,Ready To Move,Kengeri,1 BHK,,400,1,1,25
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,,1200,2,1,70
Super built-up  Area,18-May,Ananth Nagar,2 BHK,,992,2,2,24.8
Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,,950,2,3,57
Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,,1500,4,3,185
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Krine O,1200,2,1,62
Built-up  Area,Ready To Move,GM Palaya,3 BHK,Srg Bnc,1735,3,2,70
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1750,3,3,172
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,Ammesss,1009,2,2,56
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,BrardCo,1470,2,3,102
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1527,3,2,115
Built-up  Area,Ready To Move,Singapura Village,2 BHK,Juoryma,985,2,1,45
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,,3300,4,2,135
Super built-up  Area,18-Jun,Whitefield,2 BHK,Asarqz ,1277,2,1,77
Super built-up  Area,18-May,Nallurhalli,2 BHK,CMoneoo,1100,2,1,62
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1820,3,2,140
Super built-up  Area,Ready To Move,Puttanahalli,4 BHK,,1530,3,3,87
Super built-up  Area,Ready To Move,Banashankari,3 BHK,PrdgeSo,1886,3,2,205
Plot  Area,Ready To Move,Chandra Layout,3 Bedroom,,1200,2,0,190
Super built-up  Area,Ready To Move,Jakkur,3 BHK,BrdgeNo,1880,4,2,110
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,2,52.35
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,,1140,2,2,46
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1025,2,1,29.6
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,ArsiaEx,3453,4,2,247
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1490,2,2,59.6
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,,1200,4,2,165
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1850,3,2,140
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,,1250,2,1,78
Super built-up  Area,Ready To Move,Kamakya Layout,4 BHK,,2400,3,1,108
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,Soianal,3522,5,3,716
Super built-up  Area,18-Dec,Jalahalli,2 BHK,Vaniai ,1244,2,2,88
Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,623,4,1,75
Super built-up  Area,18-Dec,Kengeri Satellite Town,2 BHK,DSestSt,1025,2,1,28.57
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,DSlesSp,1034,2,1,38
Super built-up  Area,18-Jan,Kengeri Satellite Town,3 BHK,DSestSt,1191,2,2,33.34
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Maowsve,1719,3,2,71
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2,1,39.33
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1500,3,2,230
Super built-up  Area,18-Dec,Hosa Road,3 BHK,SJerse ,1470,2,2,84.22
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1140,2,1,50.66
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3,2,125
Plot  Area,Ready To Move,BTM 1st Stage,6 Bedroom,,600,6,2,80
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,600,3,1,84
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,3,2,170
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1660,3,2,85
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Pao 3ow,1275,3,3,63.43
Super built-up  Area,18-Jun,Bommasandra Industrial Area,3 BHK,,1365,3,1,52.81
Plot  Area,Ready To Move,"MEI layout, Bagalgunte",3 Bedroom,,1200,2,0,90
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,2546,3,,170
Super built-up  Area,20-Oct,Banashankari Stage VI,3 BHK,Brens7 ,1392,3,1,69.46
Super built-up  Area,18-Mar,Whitefield,2 BHK,Asarqz ,1245,2,1,59.76
Built-up  Area,Ready To Move,Rayasandra,5 Bedroom,,1200,3,1,65
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1162,2,2,64.08
Super built-up  Area,Ready To Move,Singasandra,3 BHK,EAvarum,1476,2,1,73
Built-up  Area,Ready To Move,KR Puram,1 BHK,,700,1,1,21.5
Built-up  Area,Ready To Move,Gnana Bharathi,6 Bedroom,,3600,6,1,170
Built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsen,943,2,2,48
Plot  Area,Ready To Move,Pai Layout,2 Bedroom,,1150,2,1,170
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,VHinoel,1113,2,1,44.5
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1615,3,2,69.43
Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,ETens G,1279,2,3,100
Super built-up  Area,Ready To Move,Kacharakanahalli,2 BHK,,1256,2,1,60
Built-up  Area,Ready To Move,Benson Town,3 BHK,,1805,3,2,280
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1350,3,1,65
Super built-up  Area,18-May,SRINIVASAPURA,3 BHK,,1525,3,2,68.63
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,ProdsWe,1357,2,1,123
Super built-up  Area,19-Mar,Hebbal,3 BHK,Raard B,1645,3,2,117
